Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
801.34,7.76,3.65,6.9595,0.9663,0.8122,1134.36,52.22,2272.560059
834.28,7.96,3.79,6.9549,0.9633,0.8115,1132.06,51.44,2271.22998
875.78,7.92,3.75,6.9516,0.9594,0.8145,1128.49,51.98,2263.179932
925.12,7.64,4.45,6.9532,0.9593,0.8179,1127.93,52.01,2263.790039
975.92,7.72,4.54,6.962,0.9643,0.8198,1139.08,54.01,2271.310059
979.4,8.51,4.54,6.9576,0.9608,0.8193,1144.99,53.8,2254.51001
972.53,8.48,4.5,6.9555,0.9543,0.8168,1157.55,53.75,2253.580078
1044.08,9.94,4.63,6.9638,0.9671,0.8198,1151.76,52.36,2263.879883
1159.42,10.89,4.73,6.9594,0.9627,0.8186,1157.14,53.26,2272.820068
1191.1,11.63,4.63,6.9324,0.9545,0.8151,1170.32,53.77,2271.5
1046.81,10.42,4.29,6.9404,0.9504,0.8161,1175,53.98,2282.100098
913.69,10.75,4.32,6.9381,0.9516,0.8248,1172.23,51.95,2275.48999
914.87,10.68,4.58,6.9343,0.948,0.8261,1181.61,50.82,2279.27002
919.45,10.72,4.57,6.9379,0.9566,0.8306,1185.46,52.19,2275.320068
826.25,10.23,4.05,6.9246,0.9462,0.8229,1195.07,53.01,2271.780029
829,9.9,4.02,6.9051,0.944,0.825,1191.44,52.36,2278.679932
910.56,10.53,3.94,6.9059,0.9438,0.832,1205.35,52.45,2272.080078
917.5,10.46,3.92,6.8741,0.9409,0.8162,1211.06,51.12,2272.01001
904.61,10.52,3.91,6.88,0.9444,0.8162,1199.32,51.39,2274.330078
899.4,10.75,3.92,6.8822,0.9415,0.8155,1203.53,52.33,2276.959961
928.27,10.96,3.84,6.8605,0.9358,0.8095,1213.21,52.77,2271.780029
924.15,10.87,3.83,6.8652,0.9328,0.8052,1213.33,52.38,2284.629883
903.25,10.65,3.78,6.8855,0.9338,0.8008,1203.72,52.14,2299.550049
923.22,10.67,3.86,6.8816,0.9387,0.7995,1182.53,53.18,2299.02002
923.05,10.77,4.06,6.8816,0.9418,0.8025,1190.43,52.63,2286.01001
972.02,10.8,4.15,6.8816,0.9361,0.8056,1196.24,52.75,2279.090088
989.11,10.87,4.06,6.8816,0.9319,0.7972,1207.12,53.9,2289.139893
1013.52,10.92,4.04,6.8816,0.9297,0.7993,1211.26,53.55,2283.969971
1033.87,10.95,4.06,6.8795,0.9337,0.8027,1211.06,53.81,2298.310059
1044.64,11.39,3.96,6.8708,0.9342,0.8046,1220.55,53.01,2296.179932
1061.93,11.55,3.98,6.8863,0.9385,0.8099,1230.09,52.19,2299.399902
1078.97,11.6,3.98,6.8938,0.9401,0.8016,1230.88,52.37,2295.909912
1088.99,11.49,3.95,6.8736,0.9391,0.8008,1237.86,52.99,2311.080078
998.91,11.44,3.79,6.8826,0.9429,0.8041,1221.84,53.84,2319.22998
1002.1,11.49,3.76,6.892,0.9443,0.8014,1227.53,52.96,2331.580078
1011.51,14.05,3.8,6.8894,0.9469,0.8036,1224.78,53.21,2337.580078
1008.84,13.68,3.84,6.8778,0.9507,0.8075,1223.54,53.11,2351.300049
1033.37,13.06,3.89,6.8639,0.9444,0.803,1231.52,53.41,2351.310059
1053.17,12.94,3.88,6.8735,0.9432,0.8074,1235.19,53.41,2351.159912
1117.25,12.84,3.81,6.8895,0.9501,0.8064,1231.7,54.02,2366.709961
1125.39,12.9,3.84,6.8834,0.953,0.8051,1233.29,53.61,2365.129883
1176.62,13.3,3.9,6.884,0.9491,0.8048,1234.18,54.48,2368.26001
1200.39,13.29,3.91,6.8783,0.9474,0.8035,1247.63,53.99,2367.340088
1181.98,16.09,3.87,6.8816,0.9478,0.8076,1253.77,54.04,2371.540039
1193.25,16.75,3.87,6.873,0.9462,0.8081,1250.26,54,2367.790039
1222.5,17.65,3.87,6.8826,0.9511,0.8145,1241.94,53.82,2400.97998
1262.13,19.639999,4.35,6.8911,0.9527,0.8167,1243.59,52.63,2394.75
1280.31,21.059999,4.13,6.9079,0.9524,0.819,1229.54,53.33,2383.889893
1276,20.299999,4.07,6.9005,0.9459,0.8182,1231.23,53.19,2378.800049
1275.55,19.809999,4.09,6.9071,0.9473,0.8217,1222.84,52.68,2375.120117
1232.16,18.93,3.98,6.9132,0.9494,0.8238,1213.64,49.83,2373.090088
1197.46,18.129999,3.92,6.9226,0.9503,0.8239,1203.64,48.75,2369.080078
1270.47,19.68,4,6.9217,0.946,0.8239,1195.68,48.05,2376.860107
1237.37,31.040001,5.23,6.9146,0.9387,0.8227,1204.4,47.95,2374.419922
1244.81,29.879999,4.38,6.9225,0.9435,0.8259,1200.3,47.24,2368.550049
1251.61,35.32,4.37,6.9173,0.9432,0.8235,1199.34,48.34,2390.01001
1257.98,46.549999,4.59,6.9162,0.9342,0.8171,1221.36,48.3,2388.100098
1180.16,54.880001,4.42,6.911,0.9323,0.8115,1224.01,48.34,2385.709961
1063.03,45.509998,4.15,6.9112,0.9326,0.8107,1230.35,47.79,2379.550049
1122.43,43.799999,4.15,6.9113,0.9331,0.8104,1227.76,47.02,2381.929932
