"Bitcoin","Ethereum","Litecoin","Gold","Oil","Chinese Yuan","Europe","Pound","SP","Dow Jones","EPU Index","NASDAQ","New York Stock Exchange","Volatil Index"
740.05,10.83,3.93,1303.9,45.2,6.7877,0.9169,0.8095,2170.100098,18650.06055,246.03,5258.990234,10679.69043,293
723.02,10.73,3.85,1279.8,44.62,6.8022,0.9207,0.808,2182.300049,18873.66016,272.71,5302.680176,10735,354
718.32,10.67,3.83,1254.76,43.39,6.8193,0.9238,0.7984,2165.919922,18855.7793,140.42,5241.080078,10660.98047,288
706.28,10.17,3.9,1215.23,43.29,6.8472,0.9341,0.8037,2171.360107,18934.05078,263.29,5247.169922,10695.57031,297
715.72,10.32,3.96,1221.71,45.86,6.8675,0.9335,0.8078,2180.840088,18925.25977,161.83,5287.060059,10745.53027,223
747.61,10.38,4.02,1224.99,45.56,6.8804,0.9376,0.8058,2179.219971,18909.84961,135.29,5299.629883,10719.88965,257
755.65,10.14,3.99,1222.86,45.37,6.8792,0.9418,0.8059,2188.060059,18904.0293,111,5334.049805,10759.15039,220
752.88,9.99,3.98,1206.41,45.69,6.8929,0.9464,0.813,2189.889893,18915.74023,176.29,5346.799805,10735.08984,202
741.72,9.65,3.93,1209.43,47.48,6.9,0.9454,0.8124,2198.699951,18960.75977,94.21,5369.830078,10793.37012,117
753.87,10.25,3.96,1215.18,48.07,6.8938,0.9448,0.8075,2204.800049,19043.90039,102.35,5392.259766,10828.26953,128
752.25,9.93,3.96,1210.72,46.72,6.9203,0.95,0.8091,2204.719971,19083.75977,84.27,5380.680176,10837.23047,131
741.65,9.75,3.89,1178.2,46.72,6.9232,0.9492,0.8055,2213.350098,19152.14063,90.3,5398.919922,10878.09961,135
738.01,9.04,3.89,1190.77,45.66,6.909,0.9467,0.8075,2211.139893,19138.7207,96.79,5396.27002,10864.76953,176
737.47,8.71,3.9,1189.32,45.29,6.9021,0.9465,0.8073,2210.459961,19144.40039,56.24,5403.859863,10842.28027,164
747.93,8.73,3.9,1187.43,49.41,6.8898,0.9476,0.8052,2214.100098,19225.28906,63.67,5393.149902,10890.04004,228
758.28,8.67,3.9,1168.93,51.08,6.8992,0.9448,0.8002,2202.600098,19214.30078,167.88,5326.339844,10876.38965,279
781.3,8.44,3.94,1171.65,51.7,6.8903,0.9413,0.7961,2197.949951,19196.14063,144.2,5274.540039,10867.7002,283
