Date,Price,,Date
06/14/18,1297.47,,14/06/18
06/15/18,1298.56,,15/06/18
06/16/18,,,16/06/18
06/17/18,,,17/06/18
06/18/18,1277.93,,18/06/18
06/19/18,1279.22,,19/06/18
06/20/18,1271.3,,20/06/18
06/21/18,1263.54,,21/06/18
06/22/18,1265.77,,22/06/18
06/23/18,,,23/06/18
06/24/18,,,24/06/18
06/25/18,1265.93,,25/06/18
06/26/18,1261.25,,26/06/18
06/27/18,1254.14,,27/06/18
06/28/18,1249.38,,28/06/18
06/29/18,1246.94,,29/06/18
06/30/18,,,
07/01/18,,,
07/02/18,1247.8,,
07/03/18,1238.72,,
07/04/18,1254.78,,
07/05/18,1253,,
07/06/18,1252.87,,
07/07/18,,,
07/08/18,,,
07/09/18,1256.15,,
07/10/18,1255.26,,
07/11/18,1249.58,,
07/12/18,1240.94,,
07/13/18,1242.5,,
07/14/18,,,
07/15/18,,,
07/16/18,1240.54,,
07/17/18,1238.88,,
07/18/18,1223.8,,
07/19/18,1221.46,,
07/20/18,1218.49,,
07/21/18,,,
07/22/18,,,
07/23/18,1228.87,,
07/24/18,1219.94,,
07/25/18,1223.08,,
07/26/18,1228.47,,
07/27/18,1220.79,,
07/28/18,,,
07/29/18,,,
07/30/18,1218.61,,
07/31/18,1218.77,,
08/01/18,1219.65,,
08/02/18,1215.97,,
08/03/18,1204.9,,
08/04/18,,,
08/05/18,,,
08/06/18,1211.97,,
08/07/18,1208.08,,
08/08/18,1210.33,,
08/09/18,1211.22,,
08/10/18,1208.29,,
08/11/18,,,
08/12/18,,,
08/13/18,1205.87,,
08/14/18,1191.98,,
08/15/18,1186.73,,
08/16/18,1169.47,,
08/17/18,1173.43,,
08/18/18,,,
08/19/18,,,
08/20/18,1182.96,,
08/21/18,1191.29,,
08/22/18,1192.76,,
08/23/18,1189.32,,
08/24/18,1184.57,,
08/25/18,,,
08/26/18,,,
08/27/18,1203.26,,
08/28/18,1207.56,,
08/29/18,1200.36,,
08/30/18,1201.7,,
08/31/18,1200.48,,
09/01/18,,,
09/02/18,,,
09/03/18,1197.37,,
09/04/18,1196.37,,
09/05/18,1190.5,,
09/06/18,1196.31,,
09/07/18,1198.6,,
09/08/18,,,
09/09/18,,,
09/10/18,1191.76,,
09/11/18,1192.19,,
09/12/18,1192.54,,
09/13/18,1202.69,,
09/14/18,1202.1,,
09/15/18,,,
09/16/18,,,
09/17/18,1192.7,,
09/18/18,1195.93,,
09/19/18,1198.5,,
09/20/18,1201.37,,
09/21/18,1205.91,,
09/22/18,,,
09/23/18,,,
09/24/18,,,
09/25/18,1196.47,,
09/26/18,1198.29,,
09/27/18,1194.01,,
09/28/18,1181.16,,
